ReligionImportant,Notimportant,Country
0.16,78%,Estonia
0.17,82%,Sweden
0.19,80%,Denmark
0.21000000000000002,78%,Norway
0.21000000000000002,75%,Czech Republic
0.24000000000000002,75%,Japan
0.24000000000000002,74%,Hong Kong
0.27,73%,United Kingdom
0.28,70%,Finland
0.3,69%,Vietnam
0.3,69%,France
0.32,68%,Australia
0.33,67%,The Netherlands
0.33,66%,New Zealand
0.33,58%,Belgium
0.34,64%,Cuba
0.34,62%,Bulgaria
0.34,66%,Russia
0.34,56%,Belarus
0.39,59%,Luxembourg
0.39,58%,Hungary
0.39,53%,Albania
0.39,58%,Latvia
0.4,59%,Germany
0.41000000000000003,59%,Uruguay
0.41000000000000003,57%,Switzerland
0.42000000000000004,57%,Canada
0.42000000000000004,49%,Lithuania
0.43000000000000005,56%,South Korea
0.43000000000000005,48%,Kazakhstan
0.45,54%,Taiwan
0.46,48%,Ukraine
0.47,52%,Slovenia
0.47,52%,Slovakia
0.49,51%,Spain
0.5,49%,Azerbaijan
0.51,48%,Israel
0.54,44%,Serbia
0.54,46%,Ireland
0.55,43%,Austria
0.5900000000000001,38%,Uzbekistan
0.62,33%,Belize
0.6500000000000001,34%,Argentina
0.6900000000000001,31%,United States
0.7000000000000001,28%,Croatia
0.7000000000000001,29%,Chile
0.7000000000000001,29%,Singapore
0.7000000000000001,30%,Jamaica
0.7100000000000001,28%,Montenegro
0.7100000000000001,28%,Greece
0.7200000000000001,26%,Portugal
0.7200000000000001,25%,Italy
0.7200000000000001,19%,Moldova
0.7200000000000001,25%,Kyrgyzstan
0.73,26%,Iran
0.73,25%,Mexico
0.73,25%,Armenia
0.75,19%,Poland
0.75,23%,Haiti
0.75,25%,Cyprus
0.76,22%,North Macedonia
0.7699999999999999,23%,Botswana
0.7699999999999999,21%,Bosnia and Herzegovina
0.79,21%,Venezuela
0.79,20%,Costa Rica
0.8,18%,Turkmenistan
0.8,13%,Togo
0.81,16%,Georgia
0.8200000000000001,15%,Turkey
0.8200000000000001,17%,Ecuador
0.83,16%,Colombia
0.83,16%,El Salvador
0.8400000000000001,14%,Peru
0.8400000000000001,11%,Iraq
0.8400000000000001,15%,Nicaragua
0.8400000000000001,15%,Honduras
0.8400000000000001,12%,Romania
0.8500000000000001,15%,South Africa
0.8500000000000001,14%,Puerto Rico
0.8500000000000001,12%,Tajikistan
0.8600000000000001,14%,Mozambique
0.8600000000000001,10%,Malta
0.8700000000000001,13%,Brazil
0.8700000000000001,13%,Dominican Republic
0.8700000000000001,12%,Lebanon
0.8799999999999999,12%,Zimbabwe
0.8799999999999999,12%,Cote d'Ivoire
0.8799999999999999,12%,Burkina Faso
0.8799999999999999,11%,Panama
0.8799999999999999,11%,Angola
0.8799999999999999,9%,Guatemala
0.8899999999999999,11%,Tanzania
0.8899999999999999,10%,Bolivia
0.8899999999999999,9%,Syria
0.9,9%,India
0.91,8%,United Arab Emirates
0.91,6%,Kuwait
0.92,9%,Namibia
0.92,8%,Trinidad and Tobago
0.92,8%,Paraguay
0.92,6%,Pakistan
0.93,7%,State of Palestine
0.93,7%,Sudan
0.93,7%,Uganda
0.93,7%,Madagascar
0.93,7%,Benin
0.93,6%,Nepal
0.93,5%,Tunisia
0.93,4%,Saudi Arabia
0.94,6%,Central African Republic
0.94,6%,Kenya
0.94,6%,Liberia
0.94,5%,Democratic Republic of the Congo
0.94,4%,Bahrain
0.95,5%,Ghana
0.95,5%,Zambia
0.95,4%,Qatar
0.95,4%,Algeria
0.95,5%,Chad
0.95,5%,Rwanda
0.95,5%,Republic of the Congo
0.95,3%,Mali
0.9600000000000001,4%,Philippines
0.9600000000000001,4%,Cameroon
0.9600000000000001,3%,Malaysia
0.9600000000000001,3%,Nigeria
0.9600000000000001,3%,Cambodia
0.9600000000000001,4%,Senegal
0.9600000000000001,4%,Jordan
0.9700000000000001,3%,Myanmar
0.9700000000000001,3%,Afghanistan
0.9700000000000001,3%,Laos
0.9700000000000001,3%,Guinea
0.9700000000000001,2%,Morocco
0.9700000000000001,2%,Egypt
0.9700000000000001,2%,Comoros
0.9700000000000001,2%,Thailand
0.98,2%,Burundi
0.98,2%,Djibouti
0.98,2%,Mauritania
0.99,1%,Sri Lanka
0.99,1%,Malawi
0.99,1%,Indonesia
0.99,1%,Yemen
1.0,0%,Niger
1.0,0%,Ethiopia
1.0,0%,Somalia
1.0,0%,Bangladesh
1.0,0%,Oman
